country,area_est,known_tot,diff
AT,83882,83882,0
BE,30667,30667,0
BG,110996,110996,0
CY,9253.00000001626,9253,0
CZ,78871,78871,0
DE,357569,357569,0
DK,42925,42925,0
EE,45336,45336,0
EL,131694,131694,0
ES,498502,498502,0
FI,338363,338363,0
FR,549060,549060,0
HR,56594,56594,0
HU,93012,93012,0
IE,69947.0000000001,69947,0
IT,302073,302073,0
LT,65284,65284,0
LU,2595,2595,0
LV,64594,64594,0
MT,316,316,0
NL,37391,37391,0
PL,311928,311928,0
PT,89103,89103,0
RO,238398,238398,0
SE,447424,447424,0
SI,20273,20273,0
SK,49034.9999999999,49035,0
Total,4125085.00000002,4125085,0
